,year,artist,track,time,date.entered,wk1,wk2,wk3
246,2000,2 Pac,Baby Don't Cry (Keep Ya Head Up II),4:22,2000-02-26,87,82.0,72.0
287,2000,2Ge+her,The Hardest Part Of Breaking Up (Is Getting Back Your Stuff),3:15,2000-09-02,91,87.0,92.0
24,2000,3 Doors Down,Kryptonite,3:53,2000-04-08,81,70.0,68.0
193,2000,3 Doors Down,Loser,4:24,2000-10-21,76,76.0,72.0
69,2000,504 Boyz,Wobble Wobble,3:35,2000-04-15,57,34.0,25.0
22,2000,98¡,Give Me Just One Night (Una Noche),3:24,2000-08-19,51,39.0,34.0
304,2000,A*Teens,Dancing Queen,3:44,2000-07-08,97,97.0,96.0
14,2000,Aaliyah,Try Again,4:03,2000-03-18,59,53.0,38.0
135,2000,Aaliyah,I Don't Wanna,4:15,2000-01-29,84,62.0,51.0
200,2000,"Adams, Yolanda",Open My Heart,5:30,2000-08-26,76,76.0,74.0
227,2000,"Adkins, Trace",More,3:05,2000-04-29,84,84.0,75.0
26,2000,"Aguilera, Christina",I Turn To You,4:00,2000-04-15,50,39.0,30.0
4,2000,"Aguilera, Christina",Come On Over Baby (All I Want Is You),3:38,2000-08-05,57,47.0,45.0
11,2000,"Aguilera, Christina",What A Girl Wants,3:18,1999-11-27,71,51.0,28.0
109,2000,Alice Deejay,Better Off Alone,6:50,2000-04-08,79,65.0,53.0
268,2000,"Allan, Gary",Smoke Rings In The Dark,4:18,2000-01-22,80,78.0,76.0
157,2000,Amber,Sexual (Li Da Di),4:38,1999-07-17,99,99.0,96.0
301,2000,Anastacia,I'm Outta Love,4:01,2000-04-01,92,,
21,2000,"Anthony, Marc",You Sang To Me,3:50,2000-02-26,77,54.0,50.0
238,2000,"Anthony, Marc",My Baby You,3:59,2000-09-16,82,76.0,76.0
102,2000,Avant,My First Love,4:28,2000-11-04,70,62.0,56.0
89,2000,Avant,Separated,4:13,2000-04-29,62,32.0,30.0
62,2000,BBMak,Back Here,3:35,2000-04-29,99,86.0,60.0
39,2000,"Backstreet Boys, The",Show Me The Meaning Of Being Lonely,3:54,2000-01-01,74,62.0,55.0
52,2000,"Backstreet Boys, The",Shape Of My Heart,3:49,2000-10-14,39,25.0,24.0
121,2000,"Backstreet Boys, The",The One,3:46,2000-05-27,58,50.0,43.0
44,2000,"Badu, Erkyah",Bag Lady,5:03,2000-08-19,67,53.0,42.0
154,2000,Baha Men,Who Let The Dogs Out,3:17,2000-07-22,99,92.0,85.0
67,2000,Barenaked Ladies,Pinch Me,3:46,2000-09-09,77,76.0,69.0
189,2000,Beenie Man,Girls Dem Sugar,4:17,2000-10-21,72,72.0,63.0
270,2000,Before Dark,Monica,4:04,2000-05-20,95,87.0,80.0
255,2000,"Bega, Lou",Tricky Tricky ,3:23,2000-01-29,75,74.0,87.0
256,2000,Big Punisher,It's So Hard,3:25,2000-04-22,96,87.0,75.0
161,2000,Black Rob,Whoa!,4:04,2000-03-04,78,59.0,53.0
163,2000,"Black, Clint",Been There,5:28,2000-02-19,87,73.0,62.0
34,2000,Blaque,Bring It All To Me,3:46,1999-10-23,73,63.0,50.0
220,2000,"Blige, Mary J.",Deep Inside,5:26,1999-11-13,83,80.0,80.0
233,2000,"Blige, Mary J.",Give Me You,5:00,2000-04-15,97,94.0,77.0
42,2000,Blink-182,All The Small Things,2:52,1999-12-04,89,76.0,69.0
185,2000,Bloodhound Gang,The Bad Touch,4:20,2000-03-18,70,62.0,55.0
130,2000,Bon Jovi,It's My Life,3:44,2000-08-12,64,58.0,51.0
20,2000,"Braxton, Toni",He Wasn't Man Enough,4:21,2000-03-18,63,55.0,48.0
