,artist,track,time
0,Destiny's Child,Independent Women Part I,3:38
1,Santana,"Maria, Maria",4:18
2,Savage Garden,I Knew I Loved You,4:07
3,Madonna,Music,3:45
4,"Aguilera, Christina",Come On Over Baby (All I Want Is You),3:38
5,Janet,Doesn't Really Matter,4:17
6,Destiny's Child,Say My Name,4:31
7,"Iglesias, Enrique",Be With You,3:36
8,Sisqo,Incomplete,3:52
9,Lonestar,Amazed,4:25
10,N'Sync,It's Gonna Be Me,3:10
11,"Aguilera, Christina",What A Girl Wants,3:18
12,Vertical Horizon,Everything You Want,4:01
13,Creed,With Arms Wide Open,3:52
14,Aaliyah,Try Again,4:03
15,matchbox twenty,Bent,4:12
16,"Carey, Mariah",Thank God I Found You,4:14
17,"Hill, Faith",Breathe,4:04
18,Mya,Case Of The Ex (Whatcha Gonna Do),3:50
19,Dream,He Loves U Not,3:43
20,"Braxton, Toni",He Wasn't Man Enough,4:21
21,"Anthony, Marc",You Sang To Me,3:50
22,98¡,Give Me Just One Night (Una Noche),3:24
23,Destiny's Child,Jumpin' Jumpin',3:48
24,3 Doors Down,Kryptonite,3:53
25,Sisqo,Thong Song,4:05
26,"Aguilera, Christina",I Turn To You,4:00
27,"Houston, Whitney",My Love Is Your Love,4:16
28,Joe,I Wanna Know,4:57
29,"Jordan, Montell",Get It On.. Tonite,4:34
30,N'Sync,Bye Bye Bye,3:15
31,Eminem,The Real Slim Shady,4:42
32,Pink,Most Girls,4:06
33,"Mumba, Samantha",Gotta Tell You,3:19
34,Blaque,Bring It All To Me,3:46
35,"Elliott, Missy ""Misdemeanor""",Hot Boyz,3:51
36,"Gray, Macy",I Try,3:52
37,N'Sync,This I Promise You,4:23
38,Ruff Endz,No More,3:56
39,"Backstreet Boys, The",Show Me The Meaning Of Being Lonely,3:54
40,Nine Days,Absolutely (Story Of A Girl),3:09
41,"Dion, Celine",That's The Way It Is,4:03
42,Blink-182,All The Small Things,2:52
43,Eiffel 65,Blue (Da Ba Dee),3:29
44,"Badu, Erkyah",Bag Lady,5:03
45,Pink,There U Go,3:23
46,Creed,Higher,5:16
47,Nelly,(Hot S**t) Country Grammar,4:17
48,Next,Wifey,4:03
49,Kenny G,Auld Lang Syne (The Millenium Mix),7:50
50,Sonique,It Feels So Good,3:48
51,"Spears, Britney",Oops!.. I Did It Again,3:30
52,"Backstreet Boys, The",Shape Of My Heart,3:49
53,Everclear,Wonderful,4:30
54,Ja Rule,Between Me And You,4:05
55,"Rimes, LeAnn",I Need You,3:42
56,Smash Mouth,Then The Morning Comes,3:04
57,Jay-Z,I Just Wanna Love U (Give It 2 Me),3:50
58,Jagged Edge,Let's Get Married,4:23
59,Filter,Take A Picture,4:23
60,"Martin, Ricky",She Bangs,4:02
61,Mystikal,Shake Ya Ass,4:46
62,BBMak,Back Here,3:35
63,"Spears, Britney",From The Bottom Of My Broken Heart,4:30
64,Third Eye Blind,Never Let You Go,3:57
65,Red Hot Chili Peppers,Otherside,4:13
66,Profyle,Liar,3:57
67,Barenaked Ladies,Pinch Me,3:46
68,Jagged Edge,He Can't Love U,3:30
69,504 Boyz,Wobble Wobble,3:35
70,Sting,Desert Rose,3:52
71,Jay-Z,Big Pimpin',3:55
72,Kid Rock,Only God Knows Why,5:27
73,Foo Fighters,Learn To Fly,3:55
74,"Dixie Chicks, The",Goodbye Earl,4:19
75,Guy,Dancin',4:08
76,Lil Bow Wow,Bounce With Me,3:22
77,Westlife,Swear It Again,4:07
78,Train,Meet Virginia,3:55
79,"Thomas, Carl",I Wish,3:50
80,Hanson,This Time Around,4:14
81,"Simpson, Jessica",I Think I'm In Love With You,3:32
82,Ludacris,What's Your Fantasy,4:16
83,Lil' Zane,Callin' Me,3:43
84,M2M,Don't Say You Love Me,3:41
85,SoulDecision,Faded,3:25
86,"Brock, Chad",Yes!,3:22
87,"Martin, Ricky",Shake Your Bon-Bon,3:08
88,Vertical Horizon,You're A God,3:45
89,Avant,Separated,4:13
90,"Rimes, LeAnn",Big Deal,3:03
91,IMx,Stay The Night,3:37
92,Dr. Dre,The Next Episode,2:38
93,"Spears, Britney",Lucky,3:23
94,Savage Garden,Crash And Burn,4:41
95,Kandi,Don't Think I'm Not,3:50
96,Sammie,I Like It,4:09
97,Goo Goo Dolls,Broadway,3:54
98,"Moore, Mandy",I Wanna Be With You,4:12
99,Dr. Dre,Forgot About Dre,3:42
100,D'Angelo,Untitled (How Does It Feel),7:10
101,"Messina, Jo Dee",That's The Way,3:17
102,Avant,My First Love,4:28
103,Son By Four,A Puro Dolor (Purest Of Pain),3:30
104,Da Brat,What'Chu Like,3:57
105,DMX,Party Up (Up In Here),3:45
106,"Dixie Chicks, The",Cowboy Take Me Away,4:51
107,"McGraw, Tim",My Next Thirty Years,3:37
108,"Tritt, Travis",Best Of Intentions,4:15
109,Alice Deejay,Better Off Alone,6:50
110,Hoku,Another Dumb Blonde,3:47
111,"Houston, Whitney",I Learned From The Best,4:18
112,Counting Crows,Hanginaround,4:07
113,Mary Mary,Shackles (Praise You),3:12
114,"Carey, Mariah",Crybaby,5:19
115,"McGraw, Tim",My Best Friend,4:33
116,Sugar Ray,Falls Apart,4:15
117,Madonna,American Pie,4:30
118,"Jones, Donell",Where I Wanna Be,6:22
119,"Paisley, Brad",We Danced,3:45
120,Lonestar,What About Now,3:30
121,"Backstreet Boys, The",The One,3:46
122,"Keith, Toby",How Do You Like Me Now?!,3:29
123,"Strait, George",The Best Day,3:24
124,"Dixie Chicks, The",Without You,3:32
125,Musiq,Just Friends (Sunny),4:02
126,"McEntire, Reba",What Do You Say,3:26
127,"Braxton, Toni",Just Be A Man About It,4:10
128,"Iglesias, Enrique",Rhythm Divine,7:35
129,"Fabian, Lara",I Will Love Again,3:43
130,Bon Jovi,It's My Life,3:44
131,"Evans, Sara",Born To Fly,5:36
132,"Chesney, Kenny",I Lost It,3:54
133,J-Shin,One Night Stand,4:34
134,Eve,Love Is Blind,3:51
135,Aaliyah,I Don't Wanna,4:15
136,"Montgomery, John Michael",The Little Girl,3:52
137,"Carter, Aaron",Aaron's Party (Come Get It),3:23
138,"Vassar, Phil",Just Another Day In Paradise,3:54
139,Ice Cube,You Can Do It,4:20
140,"Wills, Mark",Back At One,4:00
141,Lucy Pearl,Dance Tonight,3:45
142,"Jackson, Alan",It Must Be Love,2:53
143,"Griggs, Andy",She's More,3:19
144,No Doubt,Simple Kind Of Life,4:11
145,"Jean, Wyclef",911,4:00
146,Rascal Flatts,Prayin' For Daylight,3:36
147,Vitamin C,Graduation (Friends Forever),4:23
148,"Gilman, Billy",One Voice,4:07
149,Lonestar,Smile,3:33
150,"Rogers, Kenny",Buy Me A Rose,3:46
151,"Lawrence, Tracy",Lessons Learned,2:55
152,"Strait, George",Go On,3:48
153,Sisqo,Got To Get It,3:52
154,Baha Men,Who Let The Dogs Out,3:17
155,"Walker, Clay",The Chain Of Love,5:03
156,"McBride, Martina",Love's The Only House,5:13
157,Amber,Sexual (Li Da Di),4:38
158,"Tippin, Aaron",Kiss This,2:53
159,SheDaisy,I Will.. But,3:40
160,"Raye, Collin",Couldn't Last A Moment,3:40
161,Black Rob,Whoa!,4:04
